ENTIDAD;DESCRIPCION_URL;ID;LINK;DESCRICION_1;DESCRIPCION_2;DESCRIPCION_3;CONDICIONES
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-back-to-school;https://portales.bancochile.cl/personas/campana-beneficios/detalles/back-to-school;Vuelve a clases con el Chile;Los mejores descuentos y beneficios son con tus Tarjetas del Chile.;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-big5-2023;https://portales.bancochile.cl/personas/campana-beneficios/detalles/big5-2023;Date un gusto todos los días;Hasta 40% dcto. pagando con tus Tarjetas del Chile. La Fête - Juan Maestro - KFC - Dominó - Starbucks.;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-30-dcto-restaurant;https://portales.bancochile.cl/personas/campana-beneficios/detalles/30-dcto-restaurant;Jueves de terraza;30% dcto. en restaurantes pagando con tus Tarjetas del Chile. ;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-fan-clan-beneficios;https://portales.bancochile.cl/personas/campana-beneficios/detalles/fan-clan-beneficios;Beneficios FAN CLAN;Por ser parte de FAN Clan tienes estos exclusivos beneficios pagando con tu Tarjeta.;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-pet-family;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/pet-family;PET FAMILY;20% dcto. Todos los días;PetFamily es el ecosistema más grande de todo Chile, en él encontrarás todo lo necesario para tu perrito, desde educación canina, alimentos y juguetes cognitivos. Te acompañaremos en toda la vida perruna de tu peludito;"15% de descuento en toda la academia. Cursos grabados - Cursos en vivo - Sesiones personalizadas. Obtén tu descuento ingresando PETFAMILYBCH15 como cupón de dcto.;10% de descuento en todos los accesorios para mascota. Obtén tu descuento ingresando PETFAMILYBCH10 como cupón de dcto.;5% de dcto en alimentos. Obtén tu descuento ingresando PETFAMILYBCH5 como cupón de dcto.;Despacho gratis en alimento para mascotas en RM. Obtén tu descuento ingresando PETFAMILYBCHDG como cupón de dcto.;No acumulable con otras promociones."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-poligota-beneficio;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/poligota-beneficio;Poliglota aprende inglés como si estuvieras en Nueva York;Hasta 75% dcto. en los planes de Poliglota.;Atrévete a aprender conversando en el horario que más te acomode con Poliglota y con tus Tarjetas del Chile, obtén descuentos especiales(1) Hasta el 28 de febrero de 2023. Plan 24 sesiones 3 meses 55% dcto. $209.250 Precio normal $465.000 Plan 80 sesiones 10 meses 65% dcto. $349.650 Precio normal $999.000 Plan de 144 sesiones 18 meses 75% dcto. $422.500 $23.475 mensuales Valor normal: $1.690.000;"Activa tu descuento ingresando los 6 primeros dígitos de tu Tarjeta en poliglota.org/cl;Con tus Tarjetas de Crédito paga tus cursos en 6 o 12 cuotas sin interés(2);Para una compra referencial de $500.000 en 12 cuotas de $41.667, CAE: 1,47%, Costo Total: $504.000."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-pz-bts;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/pz-bts;PZ;20% dcto. En compra online;"20% de dcto en la sección “Escolares” todos los días comprando en www.pz.cl
Ingresa los 6 primeros dígitos de tus tarjetas del Chile como código de descuento.";"Dcto acumulable con otras promociones.;Excluye uso de cupones generados por el comercio.;Pagando con las tarjetas de Banco de Chile.;Descuento no aplicable sobre el costo de despacho de los productos."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-calpany-bts;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/calpany-bts;Calpany ;40% dcto.los miércoles en compra online;40% dcto.en compra online en calpany.cl. Válido solo en categoría escolar.;"Tope de dcto. $35.000 por compra.;Descarga tu código en bancochile.cl o en App Mi Beneficio e ingrésalo al momento de pagar online.;No acumulable con otras promociones.;1.000 códigos totales disponibles para esta promoción.;No válido para cambios."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-bravo-cabrera-20-dcto;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/bravo-cabrera-20-dcto;Bravo Cabrera;20% dcto. Lunes;20% dcto. en consumo presencial lunes.;"Descuento exclusivo pagando con Tarjetas del Banco de Chile.;No acumulable con otras promociones."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-20-dcto-ciudadano;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/20-dcto-ciudadano;Ciudadano Restaurant;20% dcto. en delivery, retiro y presencial.;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-lafete;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/lafete;La Fete;Lunes  20% dcto. pagando con tus Tarjetas del Chile.;Lunes La Fête Chocolat 20% dcto.;"Descarga tu código para COMPRA ONLINE o COMPRA EN TIENDA FISICA en botón descargar código en App Mi Beneficio o en bancochile.cl.;Para compras en tienda, presenta tu código descargado para tienda física y paga con tus Tarjetas Banco de Chile;Para compras en www.lafetechocolat.com ingresa tu código descargado para compra online como código de descuento y paga con tus Tarjetas del Chile.;Uso de un cupón diario por cliente. Ventas no acumulan puntos en el Club La Fête. Código Válido exclusivamente los lunes. Tope de descuento $20.000 por compra.;No válido en Clínica Las Condes, Puerto Natales y Monticello.;El uso del cupón del 20% de dcto. no aplica a las colecciones y ediciones limitadas.;No acumulable con otras promociones."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-furia;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/furia;FURIA;20% dcto lunes, martes, miércoles Y sábado;En furia restaurante ven a disfrutar de los mejores sabores envueltos en beneficios.;"20% de dcto todos los días lunes, martes, miércoles y sábados pagando con tus tarjetas del Chile.;No acumulable con otras promociones, menús ni happy hour."
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-rappi-descuento;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/rappi-descuento;Hasta 40% dcto. todos los días en restaurantes y comercios con Rappi;Pagando con tus Tarjetas de Débito y Crédito del Chile.;;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-pedidosya-2023;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/pedidosya-2023;30% dcto. o envío gratis en PedidosYa con tus Tarjetas del Chile;Pide algo rico cualquier día.;;
