ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
ENTEL;COMIDA;Starbucks;starbucks;https://www.entel.cl/beneficios/descuentos/comida/starbucks/?oda=beneficios-comida_cards;Disfruta tu Starbucks con descuento;disfruta tu starbucks con descuento;
ENTEL;COMIDA;Pizza Hut;pizzahut;https://www.entel.cl/beneficios/descuentos/comida/pizzahut/?oda=beneficios-comida_cards;30% dcto. en productos   seleccionados todos   los días.;30 porciento dcto en productos seleccionados todos los dias;
ENTEL;COMIDA;miCoca-Cola.cl;micocacola;https://www.entel.cl/beneficios/descuentos/comida/cocacola/?oda=beneficios-comida_cards;20% de dcto.;25 porciento de dcto;
ENTEL;COMIDA;Undurraga;undurraga;https://www.entel.cl/beneficios/descuentos/comida/undurraga/?oda=beneficios-comida_cards;40% de dcto.;40 porciento de dcto;
ENTEL;COMIDA;Piwen;piwen;https://www.entel.cl/beneficios/descuentos/comida/piwen/?oda=beneficios-comida_cards;30% de dcto.;30 porciento de dcto;
ENTEL;COMIDA;Castaño;castano;https://www.entel.cl/beneficios/descuentos/comida/castano/?oda=beneficios-comida_cards;Café mediano + muffin o Sándwich a $1.990 o a $990  para clientes Entel Visa;Café mediano mas muffin o sandwich a 1990 o a 990 para clientes entel visa;
ENTEL;COMIDA;Lysto;lysto;https://www.entel.cl/beneficios/descuentos/tienda/lysto/?oda=beneficios-comida_cards;15% de dcto. en el total de tu boleta;15 porciento de dcto en el total de tu boleta;
ENTEL;COMIDA;Entrelagos;entrelagos;https://www.entel.cl/beneficios/descuentos/comida/entrelagos;15% de dcto.;15 porciento de decto;
ENTEL;COMIDA;Fork;fork;https://www.entel.cl/beneficios/descuentos/comida/fork;20% dcto. En Forkchile.cl en  toda la página web los lunes y martes.;20 porciento de descuento en forkchile cl en toda la página web los lunes y martes.;
ENTEL;DEPORTES;Escuela Surf Maitencillo;escuela surf maitencillo;https://www.entel.cl/beneficios/descuentos/deportes/surf-maitencillo/?oda=beneficios-deportes_cards;Multiples descuentos;multiples descuentos;
ENTEL;BIENESTAR;Glam & Co;glamco;https://www.entel.cl/beneficios/descuentos/bienestar/glamco/?oda=beneficios-bienestar_cards;Descuento en servicios.;descuentos en servicios;
ENTEL;BIENESTAR;Farmacias Ahumada;farmacia ahumada;https://www.entel.cl/beneficios/descuentos/bienestar/farmacia-ahumada/?oda=beneficios-bienestar_cards;20% de dcto todos los días;20 porciento dcto todos los dias;
ENTEL;TIENDA;Rayito de Sol;rayitodesol;https://www.entel.cl/beneficios/descuentos/tienda/rayito-de-sol/?oda=beneficios-tienda_cards;25% de descuento los días lunes y martes, en la marca de Rayito de Sol en www.petrizzio.cl;30 porciento de descuento dias lunes y martes;
